Timestamp,Actual_Solar_MW,Predicted_Solar_MW,Actual_Wind_MW,Predicted_Wind_MW,Actual_Residential_Load_MW,Predicted_Residential_Load_MW,Actual_Commercial_Load_MW,Predicted_Commercial_Load_MW,Actual_Industrial_Load_MW,Predicted_Industrial_Load_MW,Actual_Critical_Load_MW,Predicted_Critical_Load_MW,Actual_Net_Load_MW,Predicted_Net_Load_MW
2020-08-13 17:00:00,0.176838,0.13399881103634834,0.8,0.5450719150881768,1.487359,1.5538397374899389,0.59216,0.5724160908554197,1.154822,1.1614584048244954,0.393545,0.4002973264080882,2.6510480000000003,3.008940833453417
2020-08-13 18:00:00,0.0,-0.011499493153681978,0.65808,0.5054586721084119,1.694339,1.731015967210293,0.430384,0.4105011858432889,1.034347,0.9952108884442151,0.399911,0.4004917584048211,2.9009009999999997,3.0432606209478883
2020-08-13 19:00:00,0.0,-0.011697639690041542,0.566159,0.4543553358509541,1.513148,1.5865996548762917,0.248498,0.23886935927656294,0.727921,0.7628381544804872,0.399613,0.4008797572252154,2.3230210000000002,2.5465292296976445
2020-08-13 20:00:00,0.0,-0.002227475765598938,0.231304,0.39082404012525085,1.353444,1.394014338656366,0.173243,0.1677678617258668,0.503238,0.47955201576399803,0.395018,0.4004742250516116,2.1936389999999997,2.05321187683819
2020-08-13 21:00:00,0.0,0.0036548682422284035,0.636317,0.39161136218911413,1.156228,1.2052659053256511,0.084953,0.0933992850213498,0.381038,0.356913636235103,0.401832,0.40075891625469917,1.387734,1.6610715124054607
2020-08-13 22:00:00,0.0,0.002536971803912893,0.646774,0.37916142802211644,1.03716,1.0466800848540365,0.084875,0.09078478756120056,0.24472,0.2503460423639119,0.404755,0.39988699011212586,1.1247360000000002,1.4059995050652454
2020-08-13 23:00:00,0.0,0.005348392984354869,0.211046,0.3533099273370803,0.859208,0.8472296338073909,0.085899,0.07695454131858796,0.249937,0.22765797034046056,0.406453,0.3994144024071097,1.3904509999999999,1.192598227552114
2020-08-14 00:00:00,0.0,0.0035378324741218237,0.8,0.5644903866610528,0.749513,0.6815308413506225,0.087809,0.07792937375486643,0.273083,0.23505429160842303,0.398211,0.40065155371591443,0.7086159999999999,0.8271378412946517
2020-08-14 01:00:00,0.0,0.007601519140088931,0.8,0.7552718842821122,0.512435,0.5085532083219588,0.08625,0.0842369221810326,0.254399,0.23634320667745176,0.398802,0.40019530577421186,0.4518859999999998,0.46645523953245394
2020-08-14 02:00:00,0.0,0.005655744599187747,0.8,0.7917563487252594,0.52585,0.4986178322932273,0.084043,0.09944601128282399,0.264593,0.25063274649667,0.406619,0.39998476082703466,0.4811050000000001,0.4512692575753088
2020-08-14 03:00:00,0.0,0.007284867148110643,0.8,0.8000491117076874,0.538896,0.5048299508321286,0.089505,0.08762153235915303,0.261542,0.24450047365336122,0.401668,0.39972364995193477,0.491611,0.42934162794077957
